id,sex,age,height,weight,income
1,male,46,168.3,72.1,2102061
2,male,22,177.1,85.4,2729262
3,male,61,171.6,81.8,1193016
4,male,48,170.2,65.2,3014919
5,male,44,168.5,66,3982087
6,male,23,160.7,50.8,3702544
7,male,46,170.3,75.1,7930623
8,male,60,163.7,67.1,6183423
9,male,30,174.8,76.7,1421261
10,male,25,175.4,63.7,3605278
11,male,26,169.5,72.7,1903848
12,male,22,166.3,50.7,461000
13,male,36,164.2,70.6,4199765
14,male,65,163.4,55.9,1628974
15,male,20,175.7,66.8,1364219
16,male,58,162.8,62,1135762
17,male,59,161.2,56.5,3292996
18,male,70,159.5,73,1009508
19,male,43,168.9,66.9,2868613
20,male,44,161.6,77,3054941
21,male,24,165.6,62.5,855943
22,male,34,161.6,48.4,3458673
23,male,30,164.6,59.5,1489360
24,male,43,172.9,73.6,7198541
25,male,45,174.4,72.9,1480713
26,male,22,170.8,59.2,1602675
27,male,53,170,56.1,1530529
28,male,28,179.3,74,9630870
29,male,53,170.5,59.8,4669487
30,male,34,166.5,60.7,4854444
31,male,22,177.6,85.1,3523560
32,male,31,162,49.1,3964915
33,male,59,175.7,68.6,7770132
34,male,57,157.4,67.2,846365
35,male,21,170.1,61.6,2068974
36,male,40,173,61.9,1888598
37,male,62,171.1,73.7,2303451
38,male,52,160.3,56.1,1153189
39,male,42,164.7,48.6,2214180
40,male,26,166.9,67.1,1568716
41,male,24,172.2,73.9,2707598
42,male,64,170.2,60.7,3780189
43,male,66,166.8,59.3,4285744
44,male,43,163.9,53,7748236
45,male,66,174,57.9,2608552
46,male,68,171.3,74.9,1299777
47,male,64,170.5,55.3,3211022
48,male,52,174.2,87.8,924696
49,male,47,173.9,66.5,831538
50,male,51,169.6,78.3,1009278
51,female,27,151,44.8,1503908
52,female,30,161.8,84,1017491
53,female,62,140.3,50.7,3753237
54,female,29,163.8,66.2,1769165
55,female,64,148,30.5,5869668
56,female,51,153.5,47.2,1038208
57,female,45,155.7,37.8,111516
58,female,46,161.6,40.5,2608177
59,female,65,150.8,53.6,15327941
60,female,43,158,53.3,3699717
61,female,25,158.5,53.3,17536533
62,female,46,164.2,60.3,678249
63,female,46,160.4,51.1,8095479
64,female,62,158.7,56.9,3839964
65,female,57,153.2,50.5,2970440
66,female,25,160.2,56.7,8207177
67,female,49,159.7,52,1050924
68,female,61,154.4,49.5,7036924
69,female,23,157.5,59.8,532039
70,female,54,158.7,58.2,13494998
71,female,34,163,66.1,3659595
72,female,52,153.9,42.5,3554758
73,female,69,155.3,48.9,2307358
74,female,69,164.2,48.5,2379938
75,female,67,153.3,47,1181920
76,female,46,159.8,45,1664827
77,female,41,158.6,62,6432640
78,female,47,154.4,67,4485367
79,female,28,152.7,49.9,1132859
80,female,24,163.7,53.5,12197978
81,female,39,161.3,67.6,4378709
82,female,26,157.1,52.4,3487823
83,female,33,160.6,54.3,766017
84,female,45,155.1,39.8,16143041
85,female,30,169.9,72.4,698537
86,female,26,164.6,55,1300372
87,female,62,157.9,55.3,9000758
88,female,60,159.1,51.6,6350644
89,female,48,157.5,47.2,3369541
90,female,36,157.1,39,4772018
91,female,65,162.3,54.5,589524
92,female,54,144.4,39.1,1537393
93,female,27,163.8,53.7,7152490
94,female,37,158.7,63.3,3246609
95,female,47,149.7,33.2,9814520
96,female,50,154.3,49.8,2299483
97,female,37,159.5,54.6,4912932
98,female,63,154.4,47.3,3627498
99,female,49,144.6,37.7,51329365
100,female,63,154.6,43.4,14160139
